cEE,cH2,cNG,cCO2,tech,elec_demand,fuel_demand,co2_capt,EI,Technology,,,,,,,,,,,,,,,,
0.01,0.01,0.01,0.075,Elec_CC,4.41,0,2,0.18,4,,,,tech no.,,,fuel,,,CC,,,EI,,,EL_demand
0.01,0.01,0.01,0.1,Elec_CC,4.41,0,2,0.18,4,,,NG_ORC,1,,NG_ORC,5.34,,NG_ORC,3,,NG_ORC,0.61,,NG_ORC,0.58
0.01,0.01,0.01,0.15,Elec_CC,4.41,0,2,0.18,4,,,NG_CC,1,,NG_CC,6.27,,NG_CC,2,,NG_CC,0.22,,NG_CC,1.07
0.01,0.01,0.01,0.2,Elec_CC,4.41,0,2,0.18,4,,,NGOxy_ORC,2,,NGOxy_ORC,4.23,,NGOxy_ORC,3,,NGOxy_ORC,0.54,,NGOxy_ORC,0.86
0.01,0.01,0.01,0.25,Elec_CC,4.41,0,2,0.18,4,,,NGOxy_ORC_CC,2,,NGOxy_ORC_CC,4.23,,NGOxy_ORC_CC,2,,NGOxy_ORC_CC,0.14,,NGOxy_ORC_CC,1.37
0.01,0.01,0.035,0.075,Elec_CC,4.41,0,2,0.18,4,,,Hyb_ORC,3,,Hyb_ORC,1.92,,Hyb_ORC,3,,Hyb_ORC,0.41,,Hyb_ORC,2.01
0.01,0.01,0.035,0.1,Elec_CC,4.41,0,2,0.18,4,,,Hyb_ORC_CC,3,,Hyb_ORC_CC,1.92,,Hyb_ORC_CC,2,,Hyb_ORC_CC,0.14,,Hyb_ORC_CC,2.37
0.01,0.01,0.035,0.15,Elec_CC,4.41,0,2,0.18,4,,,Elec,4,,Elec,0,,Elec,3,,Elec,0.36,,Elec,4.19
0.01,0.01,0.035,0.2,Elec_CC,4.41,0,2,0.18,4,,,Elec_CC,4,,Elec_CC,0,,Elec_CC,2,,Elec_CC,0.18,,Elec_CC,4.41
0.01,0.01,0.035,0.25,Elec_CC,4.41,0,2,0.18,4,,,H2_ORC,5,,H2_ORC,5.59,,H2_ORC,3,,H2_ORC,0.31,,H2_ORC,0.58
0.01,0.01,0.055,0.075,Elec_CC,4.41,0,2,0.18,4,,,H2_CC,5,,H2_CC,5.59,,H2_CC,2,,H2_CC,0.15,,H2_CC,0.9
0.01,0.01,0.055,0.1,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.01,0.055,0.15,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.01,0.055,0.2,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.01,0.055,0.25,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.01,0.075,0.075,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.01,0.075,0.1,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.01,0.075,0.15,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.01,0.075,0.2,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.01,0.075,0.25,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.01,0.1,0.075,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.01,0.1,0.1,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.01,0.1,0.15,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.01,0.1,0.2,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.01,0.1,0.25,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.025,0.01,0.075,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.025,0.01,0.1,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.025,0.01,0.15,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.025,0.01,0.2,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.025,0.01,0.25,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.025,0.035,0.075,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.025,0.035,0.1,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.025,0.035,0.15,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.025,0.035,0.2,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.025,0.035,0.25,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.025,0.055,0.075,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.025,0.055,0.1,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.025,0.055,0.15,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.025,0.055,0.2,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.025,0.055,0.25,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.025,0.075,0.075,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.025,0.075,0.1,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.025,0.075,0.15,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
0.01,0.025,0.075,0.2,Elec_CC,4.41,0,2,0.18,4,,,,,,,,,,,,,,,,
